Entry	Gene Names	Protein names	Subcellular location [CC]
A0A0C4DH26	IGKV6D-41	Probable non-functional immunoglobulin kappa variable 6D-41	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0C4DH29	IGHV1-3	Immunoglobulin heavy variable 1-3	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0C4DH39	IGHV1-58	Immunoglobulin heavy variable 1-58	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0J9YX75	TRBV6-9	T cell receptor beta variable 6-9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A539	TRBV4-2 TCRBV7S3A2 TCRBV7S3A2T	T cell receptor beta variable 4-2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A576	TRBV3-1 TCRBV9S1A1T	T cell receptor beta variable 3-1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A5B7	TRBV29-1 TCRBV4S1A1T	T cell receptor beta variable 29-1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A3KFT3	OR2M5 OR2M5P	Olfactory receptor 2M5	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
A6NDH6	OR5H15	Olfactory receptor 5H15	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
A6NIJ9	OR6C70	Olfactory receptor 6C70	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
A6NL26	OR5B21	Olfactory receptor 5B21	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
P0DOX2		Immunoglobulin alpha-2 heavy chain (Immunoglobulin alpha-2 heavy chain BUT)	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P0DOX8		Immunoglobulin lambda-1 light chain (Immunoglobulin lambda-1 light chain MCG)	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P0DP02	IGHV3-30-3	Immunoglobulin heavy variable 3-30-3	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P0DP06	IGHV4-30-4	Immunoglobulin heavy variable 4-30-4	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P0DP08	IGHV4-38-2	Immunoglobulin heavy variable 4-38-2	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P0DP09	IGKV1-13	Immunoglobulin kappa variable 1-13	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P0DTE2	IGHV8-51-1	Probable non-functional immunoglobulin heavy variable 8-51-1	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P59646	FXYD4 UNQ526/PRO1069	FXYD domain-containing ion transport regulator 4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q63113}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q63113}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q63113}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q63113}. Note=Detected in the basolateral membrane of collecting duct principal cells. {ECO:0000250|UniProtKB:Q63113}.
Q15622	OR7A5	Olfactory receptor 7A5 (Olfactory receptor OR19-17) (Olfactory receptor TPCR92)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q4KMZ8	NKAIN1 FAM77C	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 1 (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein 1) (Protein FAM77C)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q5GH73	XKR6 C8orf21 C8orf5 C8orf7 XRG6	XK-related protein 6	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:E9Q6C8}; Multi-pass membrane protein {ECO:0000255}.
Q5GH77	XKR3 XRG3	XK-related protein 3 (X Kell blood group-related 3) (XTES)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16431037}; Multi-pass membrane protein {ECO:0000269|PubMed:16431037}.
Q5T1S8	NCMAP C1orf130	Noncompact myelin-associated protein (Myelin protein of 11 kDa) (MP11)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Localized mainly in the Schmidt-Lanterman incisures and paranodes of noncompact peripheral nerve myelin. {ECO:0000250}.
Q5TF39	MFSD4B KIAA1919 NAGLT1 HSPC100	Sodium-dependent glucose transporter 1 (Major facilitator superfamily domain-containing protein 4B)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q80T22}; Multi-pass membrane protein {ECO:0000250}.
Q5VZI3	TMEM268 C9orf91	Transmembrane protein 268	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:30361615}; Multi-pass membrane protein {ECO:0000305}.
Q6IEY1	OR4F3; OR4F16; OR4F29	Olfactory receptor 4F3/4F16/4F29 (Olfactory receptor OR1-1)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q6IEZ7	OR2T5	Olfactory receptor 2T5 (Olfactory receptor OR1-62)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q6UWN0	LYPD4 UNQ2552/PRO6181	Ly6/PLAUR domain-containing protein 4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.
Q6UXB3	LYPD2 LYPDC2 UNQ430/PRO788	Ly6/PLAUR domain-containing protein 2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.
Q86SM8	MRGPRE GPR167 MRGE	Mas-related G-protein coupled receptor member E (G-protein coupled receptor 167)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q86YR6	POTED A26B3 ANKRD21 POTE	POTE ankyrin domain family member D (ANKRD26-like family B member 3) (Ankyrin repeat domain-containing protein 21) (Prostate, ovary, testis-expressed protein) (Protein POTE)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12475935, ECO:0000269|PubMed:15276201}; Peripheral membrane protein {ECO:0000269|PubMed:12475935, ECO:0000269|PubMed:15276201}.
Q8N127	OR5AS1	Olfactory receptor 5AS1 (Olfactory receptor OR11-168)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NG94	OR11H1	Olfactory receptor 11H1 (Olfactory receptor OR22-1)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NG97	OR2Z1 OR2Z2	Olfactory receptor 2Z1 (Olfactory receptor 2Z2) (Olfactory receptor OR19-4)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGA1	OR1M1	Olfactory receptor 1M1 (Olfactory receptor 19-6) (OR19-6) (Olfactory receptor OR19-5)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
Q8NGA8	OR4F17 OR4F11P OR4F18 OR4F19	Olfactory receptor 4F17 (Olfactory receptor 4F11) (Olfactory receptor 4F18) (Olfactory receptor 4F19)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGC5	OR6J1 OR6J2	Olfactory receptor 6J1 (Olfactory receptor 6J2)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGC6	OR4K17	Olfactory receptor 4K17 (Olfactory receptor OR14-29)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGC7	OR11H6	Olfactory receptor 11H6 (Olfactory receptor OR14-35)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGE2	OR2AP1 OR2AP1P	Olfactory receptor 2AP1 (Olfactory receptor OR12-9)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGE5	OR10A7	Olfactory receptor 10A7 (Olfactory receptor OR12-6)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGE9	OR9Q2 OR9Q2P	Olfactory receptor 9Q2	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGG8	OR8B3	Olfactory receptor 8B3 (Olfactory receptor OR11-311)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGH5	OR56A1	Olfactory receptor 56A1 (Olfactory receptor OR11-75)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGI6	OR4D10 OR4D10P	Olfactory receptor 4D10 (Olfactory receptor OR11-251)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGJ3	OR52E1 OR52E1P	Olfactory receptor 52E1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGJ5	OR51L1	Olfactory receptor 51L1 (Olfactory receptor OR11-31)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGJ6	OR51A4	Olfactory receptor 51A4	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGK6	OR52I1	Olfactory receptor 52I1 (Olfactory receptor OR11-13)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGL9	OR4C16	Olfactory receptor 4C16 (Olfactory receptor OR11-135)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGN0	OR4D5	Olfactory receptor 4D5 (Olfactory receptor OR11-276)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGN5	OR10G8	Olfactory receptor 10G8 (Olfactory receptor OR11-282)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGP0	OR4C13	Olfactory receptor 4C13 (Olfactory receptor OR11-260)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGP2	OR8J1	Olfactory receptor 8J1 (Olfactory receptor OR11-183)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGQ2	OR6Q1	Olfactory receptor 6Q1 (Olfactory receptor OR11-226)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGR3	OR1K1	Olfactory receptor 1K1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGS5	OR13C4	Olfactory receptor 13C4 (Olfactory receptor OR9-7)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGS9	OR13C2	Olfactory receptor 13C2 (Olfactory receptor OR9-12)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGU2	OR9A4	Olfactory receptor 9A4 (Olfactory receptor OR7-1)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGX1	OR2T34	Olfactory receptor 2T34 (Olfactory receptor OR1-63)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGY1	OR10Z1	Olfactory receptor 10Z1 (Olfactory receptor OR1-15)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NH03	OR2T3	Olfactory receptor 2T3	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NH08	OR10AC1 OR10AC1P	Olfactory receptor 10AC1 (Olfactory receptor OR7-5)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8NH09	OR8S1	Olfactory receptor 8S1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NH41	OR4K15	Olfactory receptor 4K15 (Olfactory receptor OR14-20)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NH53	OR52N1	Olfactory receptor 52N1 (Olfactory receptor OR11-61)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NH55	OR52E5	Olfactory receptor 52E5	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NH64	OR51A7	Olfactory receptor 51A7 (Olfactory receptor OR11-27)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NH81	OR10G6 OR10G6P	Olfactory receptor 10G6 (Olfactory receptor OR11-280)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8WZ92	OR5P2	Olfactory receptor 5P2 (Olfactory receptor-like protein JCG3)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q96KN9	GJD4 CX40.1	Gap junction delta-4 protein (Connexin-40.1) (Cx40.1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell junction, gap junction {ECO:0000250}.
Q96R09	OR5B2	Olfactory receptor 5B2 (OST073) (Olfactory receptor OR11-240)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q96R28	OR2M2	Olfactory receptor 2M2 (OST423)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q96R47	OR2A14 OR2A14P OR2A6	Olfactory receptor 2A14 (OST182) (Olfactory receptor 2A6) (Olfactory receptor OR7-12)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q96RD0	OR8B2	Olfactory receptor 8B2 (Olfactory receptor OR11-309)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q96TA0	PCDHB18P PCDHB18	Putative protocadherin beta-18 (PCDH-beta-18) (PCDH-psi2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q99680	GPR22	G-protein coupled receptor 22	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:D4A3U0}; Multi-pass membrane protein {ECO:0000255}.
Q9GZK7	OR11A1 OR11A2	Olfactory receptor 11A1 (Hs6M1-18) (Olfactory receptor 11A2) (Olfactory receptor OR6-30)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9NX77	ERVK13-1	Endogenous retrovirus group K member 13-1 Env polyprotein (Envelope polyprotein) (HERV-K_16p13.3 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	SUBCELLULAR LOCATION: Virion {ECO:0000250}.; SUBCELLULAR LOCATION: [Transmembrane protein]: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q9P1P4	TAAR3P GPR57 TAAR3	Putative trace amine-associated receptor 3 (TaR-3) (Trace amine receptor 3) (hTaar3) (G-protein coupled receptor 57)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q5QD04}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q5QD04}.
Q9P1Q5	OR1A1	Olfactory receptor 1A1 (Olfactory receptor 17-7) (OR17-7) (Olfactory receptor OR17-11)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9UGF6	OR5V1	Olfactory receptor 5V1 (Hs6M1-21) (Olfactory receptor OR6-26)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9UGF7	OR12D3	Olfactory receptor 12D3 (Hs6M1-27) (Olfactory receptor OR6-27)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9Y3N9	OR2W1	Olfactory receptor 2W1 (Hs6M1-15) (Olfactory receptor OR6-13)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
A0A075B6H8	IGKV1D-42	Probable non-functional immunoglobulin kappa variable 1D-42	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A075B6H9	IGLV4-69	Immunoglobulin lambda variable 4-69	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A075B6I3	IGLV11-55	Probable non-functional immunoglobulin lambda variable 11-55	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A075B6J2	IGLV2-33	Probable non-functional immunoglobulin lambda variable 2-33	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A075B6K2	IGLV3-12	Immunoglobulin lambda variable 3-12	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A075B6K4	IGLV3-10	Immunoglobulin lambda variable 3-10	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A075B6K5	IGLV3-9	Immunoglobulin lambda variable 3-9	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A075B6N4	TRBV25-1	T cell receptor beta variable 25-1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A075B6X5	TRAV18	T cell receptor alpha variable 18	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A087WSY4	IGHV4-30-2	Immunoglobulin heavy variable 4-30-2	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0A0MS02	TRGV1	Probable non-functional T cell receptor gamma variable	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}.
A0A0A0MS06	TRBV23-1	Probable non-functional T cell receptor beta variable 23-1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0A0MT36	IGKV6D-21	Immunoglobulin kappa variable 6D-21	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0A6YYD4	TRBV13	T cell receptor beta variable 13	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0A6YYK6	TRAV16	T cell receptor alpha variable 16	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0B4J1U3	IGLV1-36	Immunoglobulin lambda variable 1-36	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0B4J1U4	TRGV5 TCRGV5	T cell receptor gamma variable 5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}.
A0A0B4J1U6	TRBV9	T cell receptor beta variable 9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0B4J1V7	IGHV7-81	Probable non-functional immunoglobulin heavy variable 7-81	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0B4J1Y9	IGHV3-72	Immunoglobulin heavy variable 3-72	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0B4J238	TRAV1-2	T cell receptor alpha variable 1-2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0B4J262	TRAV8-6	T cell receptor alpha variable 8-6	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0B4J276	TRAV25	T cell receptor alpha variable 25	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0B4J2D9	IGKV1D-13	Immunoglobulin kappa variable 1D-13	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0B4J2E0	TRBV12-4	T cell receptor beta variable 12-4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0C4DH34	IGHV4-28	Immunoglobulin heavy variable 4-28	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0C4DH35	IGHV3-35	Probable non-functional immunoglobulin heavy variable 3-35	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0C4DH67	IGKV1-8	Immunoglobulin kappa variable 1-8	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0C4DH68	IGKV2-24	Immunoglobulin kappa variable 2-24	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0C4DH69	IGKV1-9	Immunoglobulin kappa variable 1-9	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
A0A0K0K1A3	TRBV10-1	T cell receptor beta variable 10-1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0K0K1C0	TRBV11-1	T cell receptor beta variable 11-1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A1B0GX78	TRBV12-5	T cell receptor beta variable 12-5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A5A6	TRBV11-3 TCRBV21S2A2	T cell receptor beta variable 11-3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A5B0	TRBV14 TCRBV14S1 TCRBV16S1A1N1	T cell receptor beta variable 14	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0JD37	TRDV3 hDV103S1	T cell receptor delta variable 3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}.
A2CJ06	DYTN	Dystrotelin	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}.
A6NDS4	TBC1D3B TBC1D3I	TBC1 domain family member 3B	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Note=Associated with lipid rafts. {ECO:0000250}.
A6NET4	OR5K3	Olfactory receptor 5K3	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
A6NF89	OR6C6	Olfactory receptor 6C6	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
A6NHG9	OR5H14	Olfactory receptor 5H14	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
O14581	OR7A17	Olfactory receptor 7A17	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
O15255	RTL8C CXX1 FAM127A MAR8 MAR8C MART8 hucep-5	CAAX box protein 1 (Cerebral protein 5)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.
O60404	OR10H3	Olfactory receptor 10H3 (Olfactory receptor OR19-24)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P0C629	OR10J4 OR10J4P	Olfactory receptor 10J4	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P0C646	OR52Z1P OR52Z1	Olfactory receptor 52Z1P	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
P0CF51	TRGC1 TCRGC1	T cell receptor gamma constant 1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}.
P0DMU2	OR8G3 OR8G3P	Olfactory receptor 8G3 (Olfactory receptor OR11-297)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
P0DOX7		Immunoglobulin kappa light chain (Immunoglobulin kappa light chain EU)	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P0DP07	IGHV4-31	Immunoglobulin heavy variable 4-31	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P47881	OR3A1 OLFRA03	Olfactory receptor 3A1 (Olfactory receptor 17-40) (OR17-40) (Olfactory receptor OR17-15)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P47884	OR1D4	Olfactory receptor 1D4 (Olfactory receptor 17-30) (OR17-30)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q6IEV9	OR4C11 OR4C11P	Olfactory receptor 4C11 (Olfactory receptor OR11-136)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q6IF36	OR8G2P OR8G2 OR8G4	Putative olfactory receptor 8G2 (Olfactory receptor 8G4) (Olfactory receptor OR11-292) (Olfactory receptor TPCR120)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
Q6IF42	OR2A2 OR2A17P OR2A2P	Olfactory receptor 2A2 (Olfactory receptor 2A17) (Olfactory receptor OR7-11)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q6IF99	OR10K2	Olfactory receptor 10K2 (Olfactory receptor OR1-4)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
